"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C107","0~CloneClass","L103","1","4","201","23.6471","0.228856","2","11.5","5.41176","1","0.0588235","1"
"C157","3~CloneClass","L103","1","7","470","193.529","0.148936","7","10","28.8235","1","0.0588235","2"
"C228","11~CloneClass","L103","1","4","108","12.7059","0.407407","2","11","5.17647","1","0.0588235","1"
"C283","14~CloneClass","L103","1","8","7","1.64706","18.2857","2","16","30.1176","1","0.117647","0"
"C318","17~CloneClass","L103","1","3","484","85.4118","0.0867769","3","14","7.41176","1","0.0588235","2"
"C359","21~CloneClass","L103","1","2","287","33.7647","0.0836237","2","12","2.82353","1","0.0588235","1"
"C383","24~CloneClass","L103","1","2","107","12.5882","0.261682","2","14","3.29412","1","0.0588235","1"
"C402","27~CloneClass","L103","1","4","75","8.82353","0.533333","2","10","4.70588","1","0.0588235","0"
"C403","30~CloneClass","L103","1","4","173","40.7059","0.323699","4","14","13.1765","1","0.0588235","2"
"C410","35~CloneClass","L103","1","2","203","214.941","0.0985222","2","10","21.1765","1","0.529412","2"
"C460","38~CloneClass","L103","1","4","385","90.5882","0.103896","4","10","9.41177","1","0.0588235","2"
"C462","43~CloneClass","L103","1","4","130","15.2941","0.338462","2","11","5.17647","1","0.0588235","1"
"C463","46~CloneClass","L103","1","2","147","17.2941","0.163265","2","12","2.82353","1","0.0588235","1"
"C466","49~CloneClass","L103","1","2","88","93.1765","0.227273","2","10","21.1765","1","0.529412","1"
"C468","52~CloneClass","L103","1","2","133","15.6471","0.180451","2","12","2.82353","1","0.0588235","1"
"C470","55~CloneClass","L103","1","4","87","10.2353","0.482759","2","10.5","4.94118","1","0.0588235","0"
"C473","58~CloneClass","L103","1","2","231","27.1765","0.103896","2","12","2.82353","1","0.0588235","1"
"C474","61~CloneClass","L103","1","2","283","33.2941","0.0777385","2","11","2.58824","1","0.0588235","1"
"C481","64~CloneClass","L103","1","2","181","21.2941","0.154696","2","14","3.29412","1","0.0588235","1"
"C482","67~CloneClass","L103","1","3","172","30.3529","0.174419","3","10","5.29412","1","0.0588235","2"
"C484","71~CloneClass","L103","1","5","401","117.941","0.174564","5","14","20.5882","1","0.0588235","2"
"C486","77~CloneClass","L103","1","2","71","8.35294","0.507042","2","18","4.23529","1","0.0588235","0"
"C488","80~CloneClass","L103","1","4","125","29.4118","0.352","4","11","10.3529","1","0.0588235","2"
"C495","85~CloneClass","L103","1","4","176","20.7059","0.272727","2","12","5.64706","1","0.0588235","1"
"C503","88~CloneClass","L103","1","8","13","6.11765","6.15385","2","10","37.6471","1","0.235294","1"
"C511","91~CloneClass","L103","1","3","130","22.9412","0.323077","3","14","7.41176","1","0.0588235","2"
"C513","95~CloneClass","L103","1","12","59","13.8824","3.25424","4","16","45.1765","1","0.0588235","2"
"C530","100~CloneClass","L103","1","2","86","10.1176","0.325581","2","14","3.29412","1","0.0588235","0"
"C535","103~CloneClass","L103","1","2","25","2.94118","1.04","2","13","3.05882","1","0.0588235","0"
"C538","106~CloneClass","L103","1","6","5","0.588235","12","2","10","7.05882","1","0.0588235","0"
"C560","109~CloneClass","L103","1","10","33","3.88235","4.54545","2","15","17.6471","1","0.0588235","0"
"C574","112~CloneClass","L103","1","2","5","0.588235","4","2","10","2.35294","1","0.0588235","0"
"C575","115~CloneClass","L103","1","4","49","5.76471","0.816327","2","10","4.70588","1","0.0588235","0"
"C583","118~CloneClass","L103","1","2","39","4.58824","0.564103","2","11","2.58824","1","0.0588235","0"
"C589","121~CloneClass","L103","1","2","174","184.235","0.206897","2","18","38.1176","1","0.529412","2"
